BankModel..1 	 records 37.30125483498 wait for 87 	 Entity..256 	 at time 902.0777806610545.
BankModel..1 	 executes Departure..268 on 87 	 Entity..256 	 at time 904.2829059569311.
BankModel..1 	 records 33.50345694052214 wait for 88 	 Entity..258 	 at time 904.2829059569311.
BankModel..1 	 executes Departure..269 on 88 	 Entity..258 	 at time 907.695840891918.
BankModel..1 	 records 6.0059591369706595 wait for 89 	 Entity..261 	 at time 907.695840891918.
BankModel..1 	 executes Arrival..267 on 90 	 Entity..266 	 at time 912.7426963097172.
BankModel..1 	 executes Arrival..272 on 91 	 Entity..271 	 at time 912.9339339891759.
BankModel..1 	 executes Arrival..274 on 92 	 Entity..273 	 at time 917.078152511165.
BankModel..1 	 executes Arrival..276 on 93 	 Entity..275 	 at time 923.6369662045757.
BankModel..1 	 executes Departure..270 on 89 	 Entity..261 	 at time 926.3739518961937.
BankModel..1 	 records 13.631255586476527 wait for 90 	 Entity..266 	 at time 926.3739518961937.
BankModel..1 	 executes Departure..279 on 90 	 Entity..266 	 at time 929.9765922291613.
BankModel..1 	 records 17.04265823998537 wait for 91 	 Entity..271 	 at time 929.9765922291613.
BankModel..1 	 executes Arrival..278 on 94 	 Entity..277 	 at time 938.8749131566989.
BankModel..1 	 executes Departure..280 on 91 	 Entity..271 	 at time 941.584788672259.
BankModel..1 	 records 24.506636161094093 wait for 92 	 Entity..273 	 at time 941.584788672259.
BankModel..1 	 executes Arrival..282 on 95 	 Entity..281 	 at time 943.2092971280144.
BankModel..1 	 executes Departure..283 on 92 	 Entity..273 	 at time 946.2924236308444.
BankModel..1 	 records 22.65545742626864 wait for 93 	 Entity..275 	 at time 946.2924236308444.
BankModel..1 	 executes Departure..286 on 93 	 Entity..275 	 at time 959.9803492209365.
BankModel..1 	 records 21.105436064237665 wait for 94 	 Entity..277 	 at time 959.9803492209365.
BankModel..1 	 executes Arrival..285 on 96 	 Entity..284 	 at time 966.2318403051478.
BankModel..1 	 executes Arrival..289 on 97 	 Entity..288 	 at time 971.0277074281721.
BankModel..1 	 executes Departure..287 on 94 	 Entity..277 	 at time 980.5988836893466.
BankModel..1 	 records 37.38958656133218 wait for 95 	 Entity..281 	 at time 980.5988836893466.
BankModel..1 	 executes Departure..292 on 95 	 Entity..281 	 at time 984.084261053051.
BankModel..1 	 records 17.85242074790324 wait for 96 	 Entity..284 	 at time 984.084261053051.
BankModel..1 	 executes Arrival..291 on 98 	 Entity..290 	 at time 986.7855922831203.
BankModel..1 	 executes Departure..293 on 96 	 Entity..284 	 at time 989.329073863952.
BankModel..1 	 records 18.30136643577987 wait for 97 	 Entity..288 	 at time 989.329073863952.
BankModel..1 	 executes Arrival..295 on 99 	 Entity..294 	 at time 992.0519176097051.
BankModel..1 	 executes Departure..296 on 97 	 Entity..288 	 at time 993.1771051019067.
BankModel..1 	 records 6.391512818786396 wait for 98 	 Entity..290 	 at time 993.1771051019067.
BankModel..1 	 executes Arrival..298 on 100 	 Entity..297 	 at time 998.5172342544249.
BankModel..1 	 executes Departure..299 on 98 	 Entity..290 	 at time 1007.2450086517459.
BankModel..1 	 records 15.193091042040805 wait for 99 	 Entity..294 	 at time 1007.2450086517459.
BankModel..1 	 executes Departure..300 on 99 	 Entity..294 	 at time 1010.1988215896017.
BankModel..1 	 records 11.6815873351768 wait for 100 	 Entity..297 	 at time 1010.1988215896017.
BankModel..1 	 executes Departure..301 on 100 	 Entity..297 	 at time 1031.4959845550482.
BankModel..1 	 terminates 	 BankModel..1 	 at time 1031.4959845550482.
